Filename,Percentage,DSE,stream_latency,n,p,iterations,iterations_ave,total_latency
lattice_1000_static,50,175149.2417497409,0.00068513,60,2,"[288.0, 143.0, 212.0]",214.33333333333334,0.14684619666666668
lattice_1000_static,55,175149.2417497409,0.00068513,60,2,"[288.0, 143.0, 212.0]",214.33333333333334,0.14684619666666668
lattice_1000_static,60,247845.31934279288,0.0010167632,84,3,"[146.33333333333334, 78.0, 94.33333333333333]",106.22222222222223,0.10800284657777778
lattice_1000_static,65,262264.5083268981,0.00068633,60,3,"[202.33333333333334, 108.33333333333333, 129.66666666666666]",146.7777777777778,0.10073799222222224
lattice_1000_static,70,262264.5083268981,0.00068633,60,3,"[202.33333333333334, 108.33333333333333, 129.66666666666666]",146.7777777777778,0.10073799222222224
lattice_1000_static,75,329915.30602786684,0.0010184432,84,4,"[108.0, 57.666666666666664, 70.33333333333333]",78.66666666666667,0.08011753173333334
lattice_1000_static,80,330109.7850828104,0.0010178432,84,4,"[108.0, 57.666666666666664, 70.33333333333333]",78.66666666666667,0.08007033173333333
lattice_1000_static,85,349075.6766977441,0.00068753,60,4,"[153.33333333333334, 76.33333333333333, 99.33333333333333]",109.66666666666667,0.07539912333333333
lattice_1000_static,90,349075.6766977441,0.00068753,60,4,"[153.33333333333334, 76.33333333333333, 99.33333333333333]",109.66666666666667,0.07539912333333333
lattice_1000_static,95,411860.32208261685,0.0010197632,84,5,"[91.0, 49.666666666666664, 56.666666666666664]",65.77777777777777,0.06707775715555554
lattice_1000_static,100,411860.32208261685,0.0010197632,84,5,"[91.0, 49.666666666666664, 56.666666666666664]",65.77777777777777,0.06707775715555554
